head,winner,loser,raw_generation
ink,binder,chick,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ink: binder or chick? Respond only with the item name.
model
Binder"
grass,gourd,seatbelt,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to grass: gourd or seatbelt? Respond only with the item name.
model
Gourd"
clam,eggnog,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to clam: eggnog or knee? Respond only with the item name.
model
Eggnog"
mouth,target,anklet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mouth: target or anklet? Respond only with the item name.
model
Target"
tennis ball,walrus,baseball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tennis ball: walrus or baseball? Respond only with the item name.
model
Walrus"
champagne,eagle,fruitcake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to champagne: eagle or fruitcake? Respond only with the item name.
model
Fruitcake"
tie,pantyhose,okra,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tie: pantyhose or okra? Respond only with the item name.
model
Pantyhose"
bell pepper,powder,crowbar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bell pepper: powder or crowbar? Respond only with the item name.
model
Powder"
flashbulb,screen,squid,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to flashbulb: screen or squid? Respond only with the item name.
model
Flashbulb"
paperclip,fencepost,hedgehog,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to paperclip: fencepost or hedgehog? Respond only with the item name.
model
Fencepost"
mulberry,sawhorse,sushi,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mulberry: sawhorse or sushi? Respond only with the item name.
model
Sawhorse"
playpen,cloud,highchair,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to playpen: cloud or highchair? Respond only with the item name.
model
Highchair"
jet,fishnet stockings,cannon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jet: fishnet stockings or cannon? Respond only with the item name.
model
Fishnet stockings"
hatchet,root,contact lens,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hatchet: root or contact lens? Respond only with the item name.
model
Contact lens"
arugula,vulture,bonsai,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to arugula: vulture or bonsai? Respond only with the item name.
model
Arugula"
t-shirt,chisel,sweater,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to t-shirt: chisel or sweater? Respond only with the item name.
model
Sweater"
baton,basil,latch,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to baton: basil or latch? Respond only with the item name.
model
Basil"
sleeping bag,tuba,gauze,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sleeping bag: tuba or gauze? Respond only with the item name.
model
Tuba"
charger,apple,memory stick,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to charger: apple or memory stick? Respond only with the item name.
model
Apple"
windshield wiper,tugboat,gumball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to windshield wiper: tugboat or gumball? Respond only with the item name.
model
Tugboat"
moth,blowfish,shoelace,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to moth: blowfish or shoelace? Respond only with the item name.
model
Blowfish"
incubator,grate,cigar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to incubator: grate or cigar? Respond only with the item name.
model
Cigar"
paper bag,dumbwaiter,tuba,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to paper bag: dumbwaiter or tuba? Respond only with the item name.
model
Dumbwaiter"
filter,bologna,dumbwaiter,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to filter: bologna or dumbwaiter? Respond only with the item name.
model
Dumbwaiter"
bat,blowfish,rack,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bat: blowfish or rack? Respond only with the item name.
model
Blowfish"
revolver,bazooka,ivy,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to revolver: bazooka or ivy? Respond only with the item name.
model
Bazooka"
rocking chair,squid,blind,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rocking chair: squid or blind? Respond only with the item name.
model
Rocking chair"
tadpole,crayfish,racket,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tadpole: crayfish or racket? Respond only with the item name.
model
Crayfish"
insole,horseshoe,gyro,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to insole: horseshoe or gyro? Respond only with the item name.
model
Gyro"
chest,arm,diamond,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chest: arm or diamond? Respond only with the item name.
model
Arm"
sheet,pennant,humvee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sheet: pennant or humvee? Respond only with the item name.
model
Pennant"
gallows,hip,cannon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gallows: hip or cannon? Respond only with the item name.
model
Cannon"
wallet,deer,speedometer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wallet: deer or speedometer? Respond only with the item name.
model
Speedometer"
bulletproof vest,beachball,shirt,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bulletproof vest: beachball or shirt? Respond only with the item name.
model
Shirt"
honeypot,grate,dessert,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to honeypot: grate or dessert? Respond only with the item name.
model
Dessert"
drawer,blackberry,abacus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to drawer: blackberry or abacus? Respond only with the item name.
model
Abacus"
leg,handprint,turntable,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to leg: handprint or turntable? Respond only with the item name.
model
Turntable"
hairnet,braid,corkboard,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hairnet: braid or corkboard? Respond only with the item name.
model
Braid"
windshield,rearview mirror,artichoke,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to windshield: rearview mirror or artichoke? Respond only with the item name.
model
Windshield"
bird,mouse,basketball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bird: mouse or basketball? Respond only with the item name.
model
Mouse"
seatbelt,duckling,sewing machine,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to seatbelt: duckling or sewing machine? Respond only with the item name.
model
Sewing machine"
turbine,porthole,foot,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to turbine: porthole or foot? Respond only with the item name.
model
porthole"
inhaler,hedgehog,denture,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to inhaler: hedgehog or denture? Respond only with the item name.
model
Hedgehog"
swimsuit,kilt,badger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to swimsuit: kilt or badger? Respond only with the item name.
model
Kilt"
camera,diaper,scoreboard,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to camera: diaper or scoreboard? Respond only with the item name.
model
Diaper"
hedge,purse,cucumber,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hedge: purse or cucumber? Respond only with the item name.
model
purse"
snowball,marshmallow,uniform,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to snowball: marshmallow or uniform? Respond only with the item name.
model
Marshmallow"
foam,glue,jeep,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to foam: glue or jeep? Respond only with the item name.
model
Glue"
mouse,dartboard,elephant,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mouse: dartboard or elephant? Respond only with the item name.
model
Dartboard"
tree,uniform,pine needle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tree: uniform or pine needle? Respond only with the item name.
model
Pine needle"
aquarium,shell,raft,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to aquarium: shell or raft? Respond only with the item name.
model
Raft"
drink,peppermint,eagle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to drink: peppermint or eagle? Respond only with the item name.
model
Peppermint"
seesaw,crane,patty,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to seesaw: crane or patty? Respond only with the item name.
model
Crane"
bow,garter,tuba,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bow: garter or tuba? Respond only with the item name.
model
Garter"
cornbread,stir fry,mascara,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cornbread: stir fry or mascara? Respond only with the item name.
model
Cornbread"
drawer,trunk,duckling,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to drawer: trunk or duckling? Respond only with the item name.
model
Trunk"
sauerkraut,gallows,cashew,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sauerkraut: gallows or cashew? Respond only with the item name.
model
Sauerkraut"
photograph,turtleneck,shell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to photograph: turtleneck or shell? Respond only with the item name.
model
Photograph"
beer,egg roll,thread,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to beer: egg roll or thread? Respond only with the item name.
model
Egg roll"
ice-cream cone,piecrust,spider web,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ice-cream cone: piecrust or spider web? Respond only with the item name.
model
Piecrust"
paint,lollipop,weasel,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to paint: lollipop or weasel? Respond only with the item name.
model
Lollipop"
pillbox,swab,uniform,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pillbox: swab or uniform? Respond only with the item name.
model
Swab"
hatchet,knee,dolly,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hatchet: knee or dolly? Respond only with the item name.
model
Dolly"
christmas card,scarf,cilantro,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to christmas card: scarf or cilantro? Respond only with the item name.
model
Scarf"
cord,artichoke,container,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cord: artichoke or container? Respond only with the item name.
model
Artichoke"
generator,forklift,coleslaw,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to generator: forklift or coleslaw? Respond only with the item name.
model
Forklift"
snack,popcorn,robe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to snack: popcorn or robe? Respond only with the item name.
model
Popcorn"
plunger,tweezers,cabbage,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to plunger: tweezers or cabbage? Respond only with the item name.
model
Tweezers"
motorcycle,roof rack,pigeon,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to motorcycle: roof rack or pigeon? Respond only with the item name.
model
Roof rack"
coaster,gopher,record player,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coaster: gopher or record player? Respond only with the item name.
model
Record player"
bomb,scallion,shelf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bomb: scallion or shelf? Respond only with the item name.
model
Scallion"
bongo,whoopee cushion,yak,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bongo: whoopee cushion or yak? Respond only with the item name.
model
Bongo"
canvas,camera,cilantro,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to canvas: camera or cilantro? Respond only with the item name.
model
Camera"
chinaware,potpie,cockroach,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chinaware: potpie or cockroach? Respond only with the item name.
model
Potpie"
paperclip,hawk,chisel,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to paperclip: hawk or chisel? Respond only with the item name.
model
Chisel"
chicken wire,finger,viewfinder,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chicken wire: finger or viewfinder? Respond only with the item name.
model
Chicken wire"
sweeper,vulture,shirt,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sweeper: vulture or shirt? Respond only with the item name.
model
Shirt"
skull,nose,fruit,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to skull: nose or fruit? Respond only with the item name.
model
Nose"
wrist,kimono,thread,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wrist: kimono or thread? Respond only with the item name.
model
Kimono"
nail clippers,shovel,badger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to nail clippers: shovel or badger? Respond only with the item name.
model
Shovel"
dartboard,kitten,pocket watch,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to dartboard: kitten or pocket watch? Respond only with the item name.
model
Kitten"
cheetah,drink,fishbowl,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cheetah: drink or fishbowl? Respond only with the item name.
model
Fishbowl"
bagpipe,wand,eggshell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bagpipe: wand or eggshell? Respond only with the item name.
model
Wand"
toe,asparagus,loincloth,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to toe: asparagus or loincloth? Respond only with the item name.
model
Loincloth"
clothespin,column,crab,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to clothespin: column or crab? Respond only with the item name.
model
Clothespin"
mat,whale,ruler,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to mat: whale or ruler? Respond only with the item name.
model
Whale"
sundae,grape,boxing gloves,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sundae: grape or boxing gloves? Respond only with the item name.
model
Grape"
fig,stretcher,steak,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to fig: stretcher or steak? Respond only with the item name.
model
Steak"
statue,beet,goblet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to statue: beet or goblet? Respond only with the item name.
model
Beet"
detonator,mold,poodle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to detonator: mold or poodle? Respond only with the item name.
model
Poodle"
orangutan,tick,helmet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to orangutan: tick or helmet? Respond only with the item name.
model
Helmet"
jewelry,pincushion,polar bear,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jewelry: pincushion or polar bear? Respond only with the item name.
model
Pincushion"
stalagmite,trombone,seaweed,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stalagmite: trombone or seaweed? Respond only with the item name.
model
Trombone"
rudder,license plate,boar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rudder: license plate or boar? Respond only with the item name.
model
License plate"
curtain,fox,underwear,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to curtain: fox or underwear? Respond only with the item name.
model
Underwear"
seesaw,pancake,chimney,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to seesaw: pancake or chimney? Respond only with the item name.
model
Chimney"
kimono,gallows,cardigan,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to kimono: gallows or cardigan? Respond only with the item name.
model
Cardigan"
meerkat,graffiti,owl,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to meerkat: graffiti or owl? Respond only with the item name.
model
Graffiti"
hopscotch,costume,blowtorch,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hopscotch: costume or blowtorch? Respond only with the item name.
model
Blowtorch"
harmonica,cufflink,whale,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to harmonica: cufflink or whale? Respond only with the item name.
model
Harmonica"
saucer,paper plate,kayak,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to saucer: paper plate or kayak? Respond only with the item name.
model
Paper plate"
stingray,cactus,birthday cake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stingray: cactus or birthday cake? Respond only with the item name.
model
Birthday cake"
food processor,payphone,cardinal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to food processor: payphone or cardinal? Respond only with the item name.
model
Payphone"
puck,squid,drain,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to puck: squid or drain? Respond only with the item name.
model
Squid"
headdress,sunflower,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to headdress: sunflower or knee? Respond only with the item name.
model
Sunflower"
rifle,chain,swan,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rifle: chain or swan? Respond only with the item name.
model
Chain"
rocking chair,fern,rocking horse,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rocking chair: fern or rocking horse? Respond only with the item name.
model
Rocking horse"
silicone,jet,crystal ball,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to silicone: jet or crystal ball? Respond only with the item name.
model
Crystal ball"
crank,flask,boar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crank: flask or boar? Respond only with the item name.
model
Flask"
pinecone,cranberry,playpen,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pinecone: cranberry or playpen? Respond only with the item name.
model
Cranberry"
green beans,knob,pine tree,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to green beans: knob or pine tree? Respond only with the item name.
model
Green beans"
checkers,rabbit,blanket,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to checkers: rabbit or blanket? Respond only with the item name.
model
Blanket"
stuffing,jackhammer,olive,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to stuffing: jackhammer or olive? Respond only with the item name.
model
Hammer"
ship,bobsled,diaper,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ship: bobsled or diaper? Respond only with the item name.
model
Diaper"
wrist,chandelier,arm,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to wrist: chandelier or arm? Respond only with the item name.
model
Chandelier"
tarp,latch,panther,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tarp: latch or panther? Respond only with the item name.
model
Tarp"
furnace,gutter,boar,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to furnace: gutter or boar? Respond only with the item name.
model
Gutter"
pecan,buffet,bus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pecan: buffet or bus? Respond only with the item name.
model
Buffet"
calamari,tuba,cocktail,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to calamari: tuba or cocktail? Respond only with the item name.
model
Tuba"
souffle,spear,quesadilla,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to souffle: spear or quesadilla? Respond only with the item name.
model
Soufflé"
flipper,snowboard,milk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to flipper: snowboard or milk? Respond only with the item name.
model
Milk"
vise,beet,thermometer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to vise: beet or thermometer? Respond only with the item name.
model
Beet"
pet food,latte,kite,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to pet food: latte or kite? Respond only with the item name.
model
Latte"
speaker,corsage,football helmet,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to speaker: corsage or football helmet? Respond only with the item name.
model
Corsage"
drill,dumpster,honeycomb,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to drill: dumpster or honeycomb? Respond only with the item name.
model
Dumpster"
bear,fox,screen,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bear: fox or screen? Respond only with the item name.
model
Fox"
champagne,sawhorse,pepper mill,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to champagne: sawhorse or pepper mill? Respond only with the item name.
model
Sawhorse"
squirrel,baseball bat,eagle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to squirrel: baseball bat or eagle? Respond only with the item name.
model
Baseball bat"
sloth,snake,flute,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sloth: snake or flute? Respond only with the item name.
model
Snake"
engine,thread,train car,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to engine: thread or train car? Respond only with the item name.
model
Train car"
granola,pancake,bus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to granola: pancake or bus? Respond only with the item name.
model
Pancake"
veil,t-shirt,bus,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to veil: t-shirt or bus? Respond only with the item name.
model
T-shirt"
meatball,bassoon,mango,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to meatball: bassoon or mango? Respond only with the item name.
model
Bassoon"
broom,shark,lamp,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to broom: shark or lamp? Respond only with the item name.
model
Shark"
garter,mitten,hummingbird,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to garter: mitten or hummingbird? Respond only with the item name.
model
Mitten"
float,bowl,tuning fork,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to float: bowl or tuning fork? Respond only with the item name.
model
bowl"
cage,harness,knee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cage: harness or knee? Respond only with the item name.
model
Harness"
cabinet,fur coat,copier,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cabinet: fur coat or copier? Respond only with the item name.
model
Fur coat"
baby,jet,chinchilla,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to baby: jet or chinchilla? Respond only with the item name.
model
Jet"
hair,ear,trombone,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hair: ear or trombone? Respond only with the item name.
model
Trombone"
brass knuckles,belt,cockatoo,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to brass knuckles: belt or cockatoo? Respond only with the item name.
model
Belt"
nose,mullet,humvee,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to nose: mullet or humvee? Respond only with the item name.
model
Humvee"
coil,gas mask,butterfly,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to coil: gas mask or butterfly? Respond only with the item name.
model
Gas mask"
crowbar,flagpole,swan,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to crowbar: flagpole or swan? Respond only with the item name.
model
Flagpole"
solar panel,toe,tape recorder,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to solar panel: toe or tape recorder? Respond only with the item name.
model
Tape recorder"
hyena,blowfish,handbrake,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hyena: blowfish or handbrake? Respond only with the item name.
model
Blowfish"
tinsel,blowtorch,crystal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tinsel: blowtorch or crystal? Respond only with the item name.
model
Blowtorch"
chopsticks,swan,matchbox,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to chopsticks: swan or matchbox? Respond only with the item name.
model
Matchbox"
potato,grapefruit,paddle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to potato: grapefruit or paddle? Respond only with the item name.
model
Grapefruit"
candlestick,scoop,mosquito,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to candlestick: scoop or mosquito? Respond only with the item name.
model
Scoop"
sewage,kayak,necklace,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sewage: kayak or necklace? Respond only with the item name.
model
Necklace"
espresso,seaplane,cotton candy,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to espresso: seaplane or cotton candy? Respond only with the item name.
model
Seaplane"
windsock,margarita,fire hydrant,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to windsock: margarita or fire hydrant? Respond only with the item name.
model
Margarita"
jack,railing,corsage,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to jack: railing or corsage? Respond only with the item name.
model
Railing"
closet,crab,bookshelf,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to closet: crab or bookshelf? Respond only with the item name.
model
Bookshelf"
gramophone,star fruit,dumbbell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to gramophone: star fruit or dumbbell? Respond only with the item name.
model
Star fruit"
tripod,polar bear,sledgehammer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to tripod: polar bear or sledgehammer? Respond only with the item name.
model
Sledgehammer"
spout,grate,lantern,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to spout: grate or lantern? Respond only with the item name.
model
grate"
sickle,knee,dustpan,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sickle: knee or dustpan? Respond only with the item name.
model
Dustpan"
saltshaker,candlestick,cardinal,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to saltshaker: candlestick or cardinal? Respond only with the item name.
model
Candlestick"
quesadilla,computer,arugula,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to quesadilla: computer or arugula? Respond only with the item name.
model
Computer"
shoulder,revolver,shirt,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to shoulder: revolver or shirt? Respond only with the item name.
model
Revolver"
taxi,snowmobile,hawk,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to taxi: snowmobile or hawk? Respond only with the item name.
model
Snowmobile"
antelope,deer,bathrobe,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to antelope: deer or bathrobe? Respond only with the item name.
model
Deer"
scissors,poker,mouse,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to scissors: poker or mouse? Respond only with the item name.
model
Mouse"
ready meal,mustard,playpen,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to ready meal: mustard or playpen? Respond only with the item name.
model
Mustard"
revolving door,peach,sandcastle,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to revolving door: peach or sandcastle? Respond only with the item name.
model
Peach"
toothpaste,sponge,shell,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to toothpaste: sponge or shell? Respond only with the item name.
model
Toothpaste"
cd player,papaya,freezer,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to cd player: papaya or freezer? Respond only with the item name.
model
Papaya"
solar panel,rag,boxing gloves,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to solar panel: rag or boxing gloves? Respond only with the item name.
model
Boxing gloves"
breakfast,raisin,bubble,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to breakfast: raisin or bubble? Respond only with the item name.
model
Raisin"
sweater,pine needle,swimsuit,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sweater: pine needle or swimsuit? Respond only with the item name.
model
Sweater"
sweeper,horn,peach,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to sweeper: horn or peach? Respond only with the item name.
model
Peach"
brooch,vest,swan,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to brooch: vest or swan? Respond only with the item name.
model
Vest"
bracket,first-aid kit,hanger,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to bracket: first-aid kit or hanger? Respond only with the item name.
model
Hanger"
rolling pin,sidecar,nail,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to rolling pin: sidecar or nail? Respond only with the item name.
model
Nail"
hair,shell,fur coat,"user
You are a helpful assistant who gives responses to questions. QUESTION: Which item is most similar to hair: shell or fur coat? Respond only with the item name.
model
Fur coat"
