item,embedding
pipe,0.7137247920036316 0.36839190125465393 0.51119065284729 0.24149267375469208 0.022867247462272644 0.12186311930418015 0.07851443439722061 0.16355478763580322 0.4537736177444458 1.224164366722107 0.04485032334923744 0.042456526309251785 0.006069263909012079 0.28611916303634644 0.08639740943908691 0.7080866694450378 0.014340509660542011 0.01994062215089798 0.5672865509986877 0.7016797065734863 0.08016809821128845 0.0383763387799263 0.06246713548898697 0.059321947395801544 0.09126603603363037 0.16576063632965088 0.09004013240337372 0.7063690423965454 0.33853527903556824 0.07946766167879105 0.060507092624902725 0.02399553544819355 0.05646595358848572 0.21056176722049713 0.06267645210027695 0.17537058889865875 0.15968120098114014 0.09374537318944931 0.02073085680603981 1.2338188886642456 0.8518209457397461 0.024545589461922646 0.08032248914241791 0.046730153262615204 0.04525267332792282 0.08585461229085922 0.011545956134796143 0.035015854984521866 0.062037888914346695
pistachio,0.03637976199388504 1.9730379581451416 0.6123061180114746 0.046247001737356186 0.01683417148888111 1.157993197441101 0.035816702991724014 0.04126835614442825 0.2302897870540619 0.10026051849126816 0.31682732701301575 0.04132487252354622 0.02105240896344185 0.08806797116994858 0.058271557092666626 0.01168572623282671 0.680302619934082 0.10530488193035126 0.03510720282793045 0.01973862014710903 0.0122639499604702 0.5044212937355042 0.0713442713022232 0.013352686539292336 0.02233991026878357 0.04412877932190895 0.00880474504083395 0.017387690022587776 0.014169121161103249 0.013760991394519806 0.00947024580091238 0.012048733420670033 0.19166859984397888 0.01933710277080536 0.05355355516076088 0.015136603266000748 0.055858734995126724 0.02439788356423378 0.03170003741979599 0.017324436455965042 0.024287793785333633 0.019267527386546135 0.024541379883885384 0.041357073932886124 0.09678231179714203 0.03238562121987343 0.006346963346004486 0.02178392931818962 0.018588973209261894
pita,0.02390020340681076 2.2730047702789307 0.19555023312568665 0.07285023480653763 0.13074949383735657 0.014444352127611637 0.056076597422361374 0.007335343398153782 0.29139244556427 0.009530914947390556 0.006482970900833607 0.028308967128396034 0.00035747388028539717 0.012739487923681736 0.7622315883636475 0.0032899840734899044 0.19503597915172577 0.05434133857488632 0.02632870152592659 0.05988967418670654 0.015875285491347313 0.25215068459510803 0.042663972824811935 0.012182550504803658 0.03295852616429329 0.025011155754327774 0.01596864126622677 0.011289448477327824 0.011489398777484894 0.01906241476535797 0.027360040694475174 0.10785970091819763 0.015345374122262001 0.047885067760944366 0.0335889607667923 0.010715704411268234 0.08275453746318817 0.018137363716959953 0.022592809051275253 0.03477339446544647 0.009949670173227787 0.023084472864866257 0.022626599296927452 0.009029426611959934 0.03534505143761635 0.020555084571242332 0.07691623270511627 0.011006495915353298 0.024320801720023155
pitcher,0.8594207167625427 0.8958302140235901 0.057118166238069534 0.27901551127433777 0.5347769856452942 0.23467481136322021 0.045137807726860046 0.11013726890087128 0.061340708285570145 0.043777622282505035 0.32218649983406067 0.36398985981941223 0.09745451807975769 0.03974955901503563 0.07779041677713394 0.004759954288601875 0.10155574232339859 0.002278264844790101 1.8973782062530518 0.011137852445244789 0.13444875180721283 0.01353444717824459 0.20983369648456573 0.5293000340461731 0.00810274202376604 0.0043141962960362434 0.02529408037662506 0.29448825120925903 0.040308430790901184 0.17883412539958954 0.009531660005450249 0.0164107047021389 0.026501964777708054 0.0032780449837446213 0.05650885030627251 0.13709774613380432 0.009439193643629551 0.03492908179759979 0.045538775622844696 0.003661785740405321 0.027875958010554314 0.019140779972076416 0.010830143466591835 0.43924251198768616 0.12525725364685059 0.021970205008983612 0.007592545822262764 0.06396354734897614 0.005804710555821657
pitchfork,1.4377199411392212 0.27964645624160767 0.44862881302833557 0.15926742553710938 0.01104162260890007 0.6444202065467834 1.1285713911056519 0.3471912443637848 0.3944624662399292 0.0906689465045929 0.013527549803256989 0.05991751328110695 0.009565688669681549 0.05130622908473015 0.01033999677747488 0.6809951066970825 0.019235262647271156 0.015475433319807053 0.002916918369010091 0.5912845134735107 0.048765361309051514 0.034776680171489716 0.000654833682347089 0.013379432260990143 0.013557195663452148 0.047765593975782394 0.45274001359939575 0.0877794474363327 0.027003975585103035 0.06908707320690155 0.6265662312507629 0.008247660472989082 0.014319747686386108 0.017264798283576965 0.006733445450663567 0.01634776033461094 0.025522444397211075 0.011629117652773857 0.04412220045924187 0.010163862258195877 0.09676355868577957 0.14069202542304993 0.1689348816871643 0.13486024737358093 0.03273162618279457 0.017813056707382202 0.35149750113487244 0.019261308014392853 0.0294047724455595
pizza,0.003845861181616783 2.1851348876953125 0.14293517172336578 0.02480306848883629 0.05626382678747177 0.0302178505808115 0.013683786615729332 0.022500788792967796 0.07536281645298004 0.029829751700162888 0.11819091439247131 0.007931034080684185 0.006935199722647667 0.17182375490665436 1.1845736503601074 0.0013348892098292708 0.022475888952612877 0.030896419659256935 0.007121633738279343 0.02948582172393799 0.023324918001890182 0.02516072615981102 0.06717120856046677 0.001825343002565205 0.00865787360817194 0.014104076661169529 0.014755034819245338 0.011236120946705341 0.03583939000964165 0.033843837678432465 0.06540532410144806 0.05525001510977745 0.00920694787055254 0.054085634648799896 0.037537816911935806 0.04042956978082657 0.029512083157896996 0.039243072271347046 0.022127509117126465 0.15755397081375122 0.06017940863966942 0.0038226537872105837 0.03469859063625336 0.014030879363417625 0.013792664743959904 0.007288291119039059 0.03194054216146469 0.008415568619966507 0.03616210073232651
place mat,0.443668007850647 0.492457777261734 0.005984694231301546 0.6802685260772705 1.076300024986267 0.14267629384994507 0.07541500777006149 0.06510540843009949 0.2562989592552185 0.02016090415418148 0.6139812469482422 0.3215904235839844 0.01160565298050642 0.10404759645462036 0.005935239605605602 0.029915742576122284 0.04567462578415871 1.1747339963912964 0.05338875204324722 0.03799014911055565 0.04630781337618828 0.3955564796924591 0.040425028651952744 0.37678635120391846 0.0093223312869668 0.12700124084949493 0.011333251371979713 0.07706239074468613 0.0424603708088398 0.011666178703308105 0.3623829483985901 0.7442218065261841 0.024168482050299644 0.4979155957698822 0.03696760535240173 0.02549692802131176 0.035194579511880875 0.03946474567055702 0.019732646644115448 0.020147211849689484 0.005894396919757128 0.01631218194961548 0.020226148888468742 0.08335951715707779 0.032640375196933746 0.08577321469783783 0.18192392587661743 0.9685779213905334 0.006834879517555237
plant,0.04014616832137108 0.7626529932022095 0.545117199420929 0.07871070504188538 0.03934129327535629 2.2573561668395996 0.41797029972076416 0.06647620350122452 0.06455046683549881 0.05040205270051956 0.015901481732726097 0.009981264360249043 0.03924661874771118 0.1861184984445572 0.02650018036365509 0.03957025706768036 0.02015744149684906 0.02195744775235653 0.21134480834007263 0.04496867209672928 0.44965660572052 0.05195166543126106 0.027495386078953743 0.15206103026866913 0.02696930803358555 0.05426391586661339 0.04403887689113617 0.07752431929111481 0.058001529425382614 0.03740941733121872 0.4083843231201172 0.026936067268252373 0.00078571931226179 0.036828018724918365 0.02161647193133831 0.07146326452493668 0.003269859589636326 0.012412401847541332 0.03196670114994049 0.031369101256132126 0.0641661286354065 0.09724536538124084 0.013590006157755852 0.047717709094285965 0.012895955704152584 0.01617838442325592 0.01185702346265316 0.1238938495516777 0.013623679988086224
plaster cast,0.388809472322464 0.038912709802389145 0.40338557958602905 0.9124199151992798 0.05059295520186424 0.020201869308948517 0.21448609232902527 0.31663382053375244 0.4008481502532959 1.0422453880310059 0.010532288812100887 0.037319254130125046 0.024026980623602867 0.7376527190208435 0.0024070392828434706 0.015650659799575806 0.04722381755709648 0.007190431002527475 0.0560879111289978 0.07606109976768494 0.03030404821038246 0.03228863701224327 0.09033513069152832 0.0186599288135767 0.7360495328903198 0.019008025527000427 0.46416640281677246 0.010606637224555016 0.01010096911340952 0.018053816631436348 0.022820359095931053 0.019083069637417793 0.6988048553466797 0.025467604398727417 0.008153232745826244 0.15851303935050964 1.236308217048645 0.012107535265386105 0.09898669272661209 0.0018923665629699826 0.015752341598272324 0.04089002311229706 0.26020345091819763 0.21075859665870667 0.006326974835246801 0.9181655645370483 0.014381426386535168 0.012363697402179241 0.1057312935590744
plastic film,0.5697610378265381 0.9613441228866577 0.029974674805998802 0.31652092933654785 0.2931210994720459 0.012777287513017654 0.0463482141494751 0.008328158408403397 0.01950007490813732 0.37963810563087463 0.05441128835082054 0.03552919626235962 0.06669560074806213 0.003026007441803813 0.06538759917020798 0.44295534491539 0.12118721753358841 0.566702663898468 0.23858597874641418 0.11598938703536987 0.0069235037080943584 0.07260245084762573 0.0019099456258118153 0.02507694438099861 0.5849981307983398 0.0002605667687021196 0.0019033971475437284 0.022815361618995667 0.056569769978523254 0.005761735141277313 0.29689598083496094 1.02938973903656 0.17776654660701752 1.0731654167175293 0.018936583772301674 0.3658445179462433 0.39237180352211 0.4442307651042938 0.28064221143722534 0.03134308382868767 0.028160780668258667 0.05664721876382828 0.01686152257025242 0.01164223998785019 0.014525804668664932 0.05644982308149338 0.061282820999622345 0.005159666296094656 0.03802834451198578
plate,0.8837900161743164 1.303501009941101 0.03844241425395012 0.3309386968612671 0.9202218651771545 0.02806553803384304 0.015586640685796738 0.07262402027845383 0.018660712987184525 0.04488248750567436 0.057126812636852264 0.3719889223575592 0.031785931438207626 0.06447087973356247 1.1934462785720825 0.05226045101881027 0.0010662433924153447 0.3332025110721588 0.47852736711502075 0.24521887302398682 0.005670848302543163 0.027586650103330612 0.093269944190979 0.29336631298065186 0.071421779692173 0.13798178732395172 0.020453639328479767 0.021760202944278717 0.01787097193300724 0.004104642663151026 0.01651715487241745 0.08644293993711472 0.38935375213623047 0.043286632746458054 0.02823922596871853 0.011071520857512951 0.023975607007741928 0.43227046728134155 0.014111578464508057 0.08619622141122818 0.027495386078953743 0.020131507888436317 0.027765067294239998 0.21566031873226166 0.13236628472805023 0.03815918043255806 0.004951198119670153 0.02611522562801838 0.00646798824891448
platypus,0.028189560398459435 0.20389021933078766 1.8741624355316162 0.01684560626745224 0.025064799934625626 0.3130857050418854 0.5165286064147949 0.04522699490189552 0.21739228069782257 0.17629611492156982 0.012110825628042221 0.05631246417760849 0.028064830228686333 0.04636150971055031 0.0759502649307251 0.07987003773450851 0.010067046619951725 0.02397850714623928 0.05446872487664223 0.039503853768110275 1.186564326286316 0.06239638477563858 0.01118033193051815 0.004385123495012522 0.1085677295923233 0.010164684616029263 0.024890905246138573 0.0034272652119398117 0.03123006969690323 0.01252860575914383 0.048735614866018295 0.028350748121738434 0.004717506002634764 0.012022919952869415 0.4334757626056671 0.02048618532717228 0.09967591613531113 0.033867478370666504 0.06805896013975143 0.05687585845589638 0.07711724191904068 0.04423364996910095 0.01709052175283432 0.00969062838703394 0.010168351233005524 0.007912199012935162 0.06210538372397423 0.014804638922214508 0.014097454026341438
playing card,0.426670640707016 0.07496150583028793 0.011579274199903011 0.10866130888462067 0.029512278735637665 0.007076318375766277 0.0036169677041471004 0.06502902507781982 0.05760980397462845 0.25701066851615906 0.9204585552215576 0.9297352433204651 0.02802799642086029 0.8462594151496887 0.22548824548721313 0.035081882029771805 0.2162747085094452 1.4797477722167969 0.18519268929958344 0.04033632203936577 0.014639206230640411 0.017520058900117874 0.22594286501407623 0.015921443700790405 0.011559019796550274 0.0012914857361465693 0.06074719503521919 0.11954577267169952 0.030098915100097656 0.05795719102025032 0.010010487399995327 0.03511514142155647 0.005238031502813101 0.3341820538043976 0.011704346165060997 0.020565180107951164 0.011358856223523617 0.0065774922259151936 0.04490576684474945 0.025355899706482887 0.03138745576143265 0.004979640711098909 0.020618129521608353 0.003260255791246891 0.025092290714383125 0.06390105932950974 0.0044204238802194595 0.17137371003627777 0.006083362735807896
playpen,0.20598238706588745 0.14097760617733002 0.6137022972106934 0.18240083754062653 1.262039303779602 0.11522496491670609 0.10359063744544983 0.08689216524362564 0.5097455382347107 1.1178268194198608 1.1778050661087036 0.006326605100184679 0.12007831037044525 0.3844713568687439 0.002894551493227482 0.13795430958271027 0.2360386848449707 0.0919571965932846 0.017225399613380432 0.03075701743364334 0.055823713541030884 0.017240967601537704 0.2915501594543457 0.012826189398765564 0.01678403466939926 0.01777683198451996 0.005232962779700756 0.05242833122611046 0.01103402953594923 0.014410761184990406 0.0625130757689476 0.019823087379336357 0.03857922926545143 0.05221713334321976 0.00926964171230793 0.16772088408470154 0.13601307570934296 0.013200479559600353 0.023266112431883812 0.026550903916358948 0.004605298861861229 0.44033560156822205 0.20716142654418945 0.5563650131225586 1.9222935438156128 0.0349578782916069 0.34585341811180115 0.011462450958788395 0.02407733164727688
pliers,2.0201785564422607 0.03928983211517334 0.012191129848361015 0.11587829887866974 0.054691340774297714 0.05878080427646637 0.23372440040111542 0.1356927901506424 0.27493947744369507 0.022585516795516014 0.2458588182926178 0.036551471799612045 0.03824527934193611 0.0957694873213768 0.02007986605167389 1.353777289390564 0.07474981248378754 0.07029274851083755 0.060675956308841705 0.027731867507100105 0.07364518195390701 0.044961247593164444 0.0702282190322876 0.11131346225738525 0.07270027697086334 0.30080485343933105 0.12681694328784943 0.0008819950744509697 0.07760479301214218 0.01854744367301464 0.09889855980873108 0.08272048830986023 0.005219458602368832 0.09088682383298874 0.003803792642429471 0.11086922138929367 0.03337305039167404 0.0715857595205307 0.821567714214325 0.11433324217796326 0.06303900480270386 0.004990658722817898 0.023732850328087807 0.06622570008039474 0.06051844358444214 0.004182546399533749 0.012071726843714714 0.09345646947622299 0.021779175847768784
plug,1.4269291162490845 0.005770410876721144 0.018323244526982307 0.07416936755180359 0.32741063833236694 0.00797456968575716 0.0271439366042614 0.05098976939916611 0.04670647531747818 0.0081610893830657 0.009407302364706993 0.007884500548243523 1.3315898180007935 0.018707193434238434 0.0071604750119149685 0.37183454632759094 0.03338627144694328 0.06244387477636337 0.005860325880348682 0.3449103534221649 0.0365985706448555 0.0021050828509032726 0.20833571255207062 0.0013940474018454552 0.061494965106248856 1.3000596761703491 0.0425572469830513 0.008357718586921692 0.03482137992978096 0.018034275621175766 0.005381633527576923 0.02189789153635502 0.009871759451925755 0.02254667319357395 0.0269831083714962 0.3090212047100067 0.020629068836569786 0.014138413593173027 0.7240679264068604 0.04734279587864876 0.05336157977581024 0.0725829005241394 0.015277242287993431 0.06034505367279053 0.014388001523911953 0.008954434655606747 0.0424504354596138 0.049388520419597626 0.02139253355562687
plum,0.011888619512319565 1.8277349472045898 0.3389800190925598 0.028299381956458092 0.021582545712590218 1.2470730543136597 0.01986140012741089 0.027081428095698357 0.013764861971139908 0.08773353695869446 0.2514541447162628 0.07432018220424652 0.02125062420964241 0.08206872642040253 0.3580831289291382 0.009102916345000267 0.0709480494260788 0.022772829979658127 0.1460460126399994 0.013524405658245087 0.03174443915486336 0.018803562968969345 0.4689790606498718 0.06691993772983551 0.02689122036099434 0.04042816907167435 0.015955528244376183 0.06242517754435539 0.020505446940660477 1.1421000957489014 0.031905397772789 0.014331270009279251 0.01788652129471302 0.01711456850171089 0.016430413350462914 0.005231576040387154 0.03510875999927521 0.019847705960273743 0.03399139642715454 0.03044404275715351 3.919484879588708e-05 0.05189511179924011 0.04888588562607765 0.0206888560205698 0.01833190768957138 0.00897157285362482 0.012947256676852703 0.00689911050722003 0.003679488552734256
plunger,0.9184431433677673 0.0037248809821903706 0.005319597665220499 0.2737085521221161 0.673394501209259 0.0016186218708753586 0.39497560262680054 0.004388593137264252 0.008030745200812817 0.03468410670757294 0.1600535809993744 0.0025127504486590624 0.08761274069547653 0.0026938538067042828 0.3703679144382477 1.0982484817504883 0.009367664344608784 0.004598890896886587 0.6848260164260864 0.6372527480125427 0.25909289717674255 0.023610971868038177 0.03444163128733635 0.007683572359383106 0.834724485874176 0.04334312304854393 0.0015506260097026825 0.5518305897712708 0.013050640933215618 0.01764044724404812 0.05180283263325691 0.02174014411866665 0.01759672909975052 0.0071452041156589985 0.014492004178464413 0.19631318747997284 0.013537785969674587 0.0179850272834301 0.6604500412940979 0.05562104657292366 0.011495101265609264 0.0093181561678648 0.01827659271657467 0.04750203713774681 0.05795392021536827 0.006781131494790316 0.042599257081747055 0.04903944581747055 0.015705429017543793
pocket,0.47203895449638367 0.05192594602704048 0.05271069332957268 2.2094838619232178 0.06507447361946106 0.046199098229408264 0.4099121689796448 0.17107246816158295 0.23114684224128723 0.5545690655708313 0.27841055393218994 0.010570133104920387 0.17146757245063782 0.17889197170734406 0.05013372749090195 0.01326022669672966 0.2164539396762848 0.49289798736572266 0.16030088067054749 0.031872935593128204 0.01058109849691391 0.10960965603590012 0.05344667658209801 -3.854749957099557e-05 0.07259275019168854 0.008046788163483143 0.024702981114387512 0.02341558039188385 0.012746934778988361 0.03901992738246918 0.02908976748585701 0.0593242272734642 0.07962872833013535 0.11462565511465073 0.008808892220258713 0.026850193738937378 0.2590053975582123 0.009621202014386654 0.04000347852706909 0.03934653103351593 0.029002651572227478 0.0816296935081482 0.011197943240404129 0.01361435279250145 0.08036959916353226 0.3268313407897949 0.0173029862344265 0.045881833881139755 0.013670290820300579
pocket watch,1.302823781967163 0.06111307814717293 0.02709253504872322 0.023106884211301804 0.05000991001725197 0.020312488079071045 0.024786826223134995 0.19024130702018738 0.13461719453334808 0.6243858337402344 0.08946886658668518 0.7728807330131531 0.8547237515449524 0.19640953838825226 1.348244071006775 0.23921197652816772 0.02902211621403694 0.16021443903446198 0.06394175440073013 0.04602561146020889 0.06275468319654465 0.02997061237692833 0.012492292560636997 0.4443753659725189 0.055502574890851974 0.10298274457454681 0.1270386129617691 0.19209104776382446 0.10874955356121063 0.46120041608810425 0.02622879482805729 0.05470745638012886 0.04853415489196777 0.09434684365987778 0.022452889010310173 0.01582137867808342 0.3789927065372467 0.010797436349093914 0.06983615458011627 0.025225525721907616 0.154438316822052 0.05986427143216133 0.014737576246261597 0.003549478482455015 0.09220439195632935 0.05899051949381828 0.01689254492521286 0.02059965580701828 0.00886579230427742
pocketknife,1.6087143421173096 0.27579858899116516 0.06804578006267548 0.12187448143959045 0.018343299627304077 0.20299415290355682 0.027193471789360046 0.06157286465167999 0.5157402753829956 0.0979185402393341 0.10074246674776077 0.5610844492912292 0.0708106979727745 0.24387845396995544 0.023772623389959335 1.2149618864059448 0.072348952293396 0.5063196420669556 0.012122666463255882 0.2817682921886444 0.04824848100543022 0.0467713363468647 0.004903197288513184 0.016937721520662308 0.007306477054953575 0.032253630459308624 0.7898626923561096 0.03990190848708153 0.01795225590467453 0.01568770408630371 0.11716680973768234 0.03464145585894585 0.275477796792984 0.011717618443071842 0.04457264766097069 0.03622330725193024 0.05206044018268585 0.025855133309960365 0.1013994812965393 0.05423048883676529 0.014002127572894096 0.02091454714536667 0.015185695141553879 0.19737662374973297 0.016351060941815376 0.02760920114815235 0.03641984611749649 0.04092518985271454 0.04065503925085068
pogo stick,1.3964234590530396 0.007968435063958168 0.006417384371161461 0.2782304584980011 0.29437026381492615 0.001862748758867383 0.4983728528022766 0.5016518235206604 0.09854911267757416 0.291514128446579 0.1762188822031021 0.04486657306551933 0.1829262524843216 0.9183054566383362 0.041022222489118576 0.5574880838394165 0.02888195775449276 0.010124081745743752 0.005085311830043793 0.8259367346763611 0.005371222272515297 0.008790506981313229 0.010197586379945278 0.012668412178754807 0.00708231795579195 0.03197677433490753 0.0904032289981842 0.21585360169410706 0.27050137519836426 0.0408744215965271 0.017259158194065094 0.0015736897476017475 0.011958525516092777 0.011999721638858318 0.013954139314591885 0.015797408297657967 0.01550002209842205 0.012026169337332249 0.21535472571849823 0.019752511754631996 0.0472329705953598 0.03208385780453682 0.4540180265903473 0.004681339953094721 0.07136823982000351 0.015282494015991688 0.02019493654370308 0.007353940512984991 0.03127327188849449
poinsettia,0.016104592010378838 0.46185219287872314 0.49511829018592834 0.11730749905109406 0.03872992843389511 1.883752465248108 0.09068398177623749 0.05084244906902313 0.40885254740715027 0.034056905657052994 0.23902152478694916 0.3833383321762085 0.009474863298237324 0.05670192837715149 0.0022241645492613316 0.12785150110721588 0.03868049383163452 0.25344064831733704 0.028820810839533806 0.1183488517999649 0.11525797098875046 0.04274342581629753 1.7977616786956787 0.5009066462516785 0.0644199326634407 0.03919406235218048 0.00891882460564375 0.040512166917324066 0.17155824601650238 0.012169643305242062 0.07625486701726913 0.05778774246573448 0.006334994919598103 0.08458059281110764 0.3836073875427246 0.016841230913996696 0.023685792461037636 0.017885850742459297 0.014286722987890244 0.08325441926717758 0.013558193109929562 0.023950248956680298 0.0410609170794487 0.030772019177675247 0.04977454990148544 0.030029363930225372 0.010770298540592194 0.6845353245735168 0.02794591709971428
poker,1.5037709474563599 0.020627642050385475 0.15579348802566528 0.06878995150327682 0.032766133546829224 0.02302584983408451 0.6727242469787598 0.011923626996576786 0.10273518413305283 0.06094236671924591 0.06346632540225983 0.15438155829906464 0.03598596528172493 0.06330692768096924 0.05721611902117729 1.2850273847579956 0.04107676446437836 0.006552706006914377 0.006468574982136488 0.6080440878868103 0.35836246609687805 0.02413722686469555 0.040593765676021576 0.1645970195531845 0.00894845463335514 0.027441594749689102 0.3445415198802948 0.07133506238460541 0.12267333269119263 0.030612336471676826 0.09502127766609192 0.013282778672873974 0.02642466500401497 0.019935688003897667 0.5208457112312317 0.256910502910614 0.03619779646396637 0.0115449083968997 0.009918768890202045 0.36746859550476074 0.08666139096021652 0.2984614670276642 0.010548239573836327 0.030093898996710777 0.03136797249317169 0.012626349925994873 0.033861443400382996 0.03439478576183319 0.03873651847243309
polar bear,0.02366798371076584 0.024842504411935806 2.4050328731536865 0.07116308063268661 0.06616027653217316 0.030160829424858093 0.0031661491375416517 0.06089814379811287 0.007701817434281111 0.07207778841257095 0.02470545470714569 0.02181464061141014 0.005275160539895296 0.022182028740644455 0.013047252781689167 0.018176589161157608 0.009256333112716675 0.007598547730594873 0.02420974150300026 0.025607340037822723 0.2564862370491028 0.013885162770748138 0.01706404983997345 0.040381643921136856 0.07785989344120026 0.012200254015624523 0.04524005204439163 0.005501345731317997 0.005711684003472328 0.02139744907617569 0.018665572628378868 0.025207674130797386 1.3956489562988281 0.015335166826844215 0.011916014365851879 0.015108101069927216 0.018098851665854454 0.03461330384016037 0.037206411361694336 0.029560672119259834 0.015928247943520546 0.02193591743707657 0.021795684471726418 0.019116641953587532 0.05321597307920456 0.026154665276408195 0.042874887585639954 0.042701493948698044 0.014841122552752495
polaroid,0.7341851592063904 0.018011895939707756 0.006999831646680832 0.20057392120361328 0.5302045941352844 0.015917737036943436 0.023218205198645592 0.09445720911026001 0.05115823820233345 0.034425925463438034 0.36135759949684143 0.01497517991811037 0.4118378758430481 0.0059578088112175465 0.011338884942233562 0.08364849537611008 0.1393139660358429 1.6124237775802612 0.025923045352101326 0.06428983062505722 0.028484519571065903 0.05387876182794571 0.04505883529782295 0.11325210332870483 0.01716778427362442 0.7391611337661743 0.012704271823167801 0.18887856602668762 0.4856012463569641 0.01969839632511139 0.018496278673410416 0.12777483463287354 0.03945864364504814 0.3090686798095703 0.022522980347275734 0.020062800496816635 0.004780142102390528 0.16970860958099365 0.007808953523635864 0.057419851422309875 0.022989220917224884 0.024656716734170914 0.04300347715616226 0.009388752281665802 0.006642407272011042 0.029424043372273445 0.030496355146169662 0.08574695885181427 0.029692810028791428
pole,0.8976373672485352 0.010676883161067963 0.3162517845630646 0.04813653230667114 0.36569955945014954 0.9977235794067383 1.1050153970718384 0.2625228762626648 0.0759766548871994 0.029988061636686325 0.06038408726453781 0.05063479766249657 0.027118684723973274 0.2680683732032776 0.20925773680210114 0.23143300414085388 0.03597346320748329 0.03556463122367859 0.03901171311736107 1.2244274616241455 0.0561521053314209 0.03264128044247627 0.05552942678332329 0.0747588723897934 0.03920145332813263 0.033857256174087524 0.032285962253808975 0.11967319250106812 0.17463572323322296 0.014557651244103909 0.015583704225718975 0.029748568311333656 0.032802827656269073 0.01617886684834957 0.04223908856511116 0.08548930287361145 0.004403204191476107 0.09149289131164551 0.054784517735242844 0.01467504259198904 0.012681731022894382 0.6294834017753601 0.048225145787000656 0.042459405958652496 0.02506808005273342 0.030470747500658035 0.05889139324426651 0.04207788035273552 0.022624963894486427
police car,0.8386000394821167 0.015002488158643246 0.01501338928937912 0.22843368351459503 0.030829504132270813 0.020462561398744583 0.1589784026145935 2.0274643898010254 0.021146193146705627 0.3164471983909607 0.018021786585450172 0.022495148703455925 0.5400316715240479 0.0442991703748703 0.015245502814650536 0.029416488483548164 0.0741485208272934 0.17976510524749756 0.03911838307976723 0.011661607772111893 0.016465777531266212 0.00795388501137495 0.016515273600816727 0.01358901895582676 0.028133869171142578 0.09939751774072647 0.6148020625114441 0.03408932685852051 0.04389486089348793 0.027293983846902847 0.004968651104718447 0.006701737642288208 0.02212187834084034 0.07831881195306778 0.00761833181604743 0.06896210461854935 0.07649575918912888 0.015430668368935585 0.030583498999476433 0.0457770973443985 0.02261996641755104 0.04547471925616264 0.03994741290807724 0.027594061568379402 0.03845611959695816 0.026073485612869263 0.024236034601926804 0.022866662591695786 0.01661827228963375
polisher,1.1201447248458862 0.07007363438606262 0.07111983001232147 0.415485680103302 0.199154332280159 0.010435405187308788 0.13900895416736603 1.0914283990859985 0.04202812910079956 0.26336127519607544 0.05393238738179207 0.09045615047216415 0.4999139606952667 0.1425536423921585 0.8191523551940918 1.1865674257278442 0.0718613713979721 0.0685429573059082 0.01790490373969078 0.06779617816209793 0.013122212141752243 0.06352853775024414 0.0037741668056696653 0.06884429603815079 0.7696648240089417 0.0840083435177803 0.05021083354949951 0.2548273205757141 0.03278426080942154 0.07398465275764465 0.020867086946964264 0.37083765864372253 0.022783437743782997 0.01876944862306118 0.03774538263678551 0.02306840941309929 0.05816551297903061 0.46449050307273865 0.833357036113739 0.07133281230926514 0.024673795327544212 0.01337056327611208 0.02183206006884575 0.047978475689888 0.024180656298995018 0.028738517314195633 0.02317613549530506 0.024747280403971672 0.03482082113623619
polo shirt,0.10220105201005936 0.0731818899512291 0.3250788450241089 1.6104767322540283 0.008159147575497627 0.7491817474365234 0.004341208375990391 0.03514626994729042 0.0021910332143306732 1.5128027200698853 0.6011281609535217 0.012321303598582745 0.012196547351777554 0.14967426657676697 0.09161168336868286 0.0551641508936882 0.02414069138467312 0.004479171708226204 0.01459328830242157 0.04012744501233101 0.035295892506837845 0.00505145313218236 0.06773783266544342 0.026578593999147415 0.022883644327521324 0.03935975953936577 0.05194980278611183 0.09638465940952301 0.0054561481811106205 0.012454905547201633 0.0113243218511343 0.04775996506214142 0.002123532583937049 0.024983953684568405 0.04391882196068764 0.045507028698921204 0.012521457858383656 0.03621037304401398 0.01041685976088047 0.009414476342499256 0.039124175906181335 0.009562341496348381 0.01639178767800331 0.020035386085510254 0.03913034126162529 0.03518927842378616 0.02752547524869442 0.0561203733086586 0.01086245197802782
polygraph,1.3967723846435547 0.0025655189529061317 0.0015590001130476594 0.016694126650691032 0.12273617088794708 0.01436072401702404 0.02536943554878235 0.680877149105072 0.02828099951148033 0.00010550314618740231 0.016826288774609566 0.07649058848619461 1.3880387544631958 0.003351145191118121 0.054725050926208496 0.004257946740835905 0.020354487001895905 0.8639056086540222 0.008809336461126804 0.015986360609531403 0.04914627596735954 0.008275320753455162 0.030887732282280922 0.003277234034612775 0.010827763937413692 0.053418587893247604 0.2635096609592438 0.0022560858633369207 0.023323100060224533 0.03459100052714348 0.0115639828145504 0.3374977707862854 0.28686410188674927 0.020027393475174904 0.011178613640367985 0.0046634976752102375 0.011751683428883553 0.013781252317130566 0.607008695602417 0.00568307563662529 0.01572457142174244 0.2548934519290924 0.008199739269912243 0.016996197402477264 0.02742345817387104 0.5027420520782471 0.037674035876989365 0.029323289170861244 0.036795590072870255
